10,"['moral', 'proper', 'principl', 'righteous', 'nobl', 'good', 'subject', 'expos', 'suscept', 'condit', 'account', 'apt', 'prove', 'confirm', 'verifi', 'explain', 'show', 'turn out', 'wrong', 'untru', 'inaccur', 'mistaken', 'unsound', 'bad']"
31,"['whole', 'perfect', 'full', 'unabridg', 'all', 'exclus', 'world', 'earth', 'natur', 'star', 'univers', 'creation', 'will', 'desir', 'disciplin', 'resolv', 'power', 'wish', 'never', 'at no tim', 'forget it', 'nevermor', 'no way', 'not at al', '100', '.25', '180', '247', '911', '10', 'vegan', 'fruitarian', 'herbivor']"
61,"['do', 'move', 'execut', 'accomplish', 'end', 'complet', 'feed', 'fodder', 'forag', 'hay', 'grain', 'meal', 'pet', 'love', 'favor', 'prefer', 'endear', 'dear', 'win', 'gold', 'success', 'achiev', 'accomplish', 'sweep']"
18,"['been', 'breath', 'do', 'last', 'prevail', 'move', 'happen', 'hit', 'materi', 'develop', 'go on', 'appear', 'hundr', 'hundr', 'hind', 'hound', 'hunt', 'hunter', 'year', 'term', 'age', 'time', 'period', 'moment']"
34,"['everyon', 'every on', 'everyon', 'everyman', 'everymen', 'every on', 'went', 'fli', 'retir', 'travel', 'move', 'leav', 'vegan', 'fruitarian', 'herbivor', 'livestock', 'herd', 'stock', 'oxen', 'calv', 'beast', 'overpopul', 'oversuppli', 'over play', 'over-play', 'over suppli', 'over-suppli']"
4,"['cow', 'dishearten', 'terror', 'subdu', 'faze', 'frighten', 'need', 'use', 'right', 'wish', 'commit', 'demand', 'milk', 'cream', 'condens', 'raw', 'skim', 'formula', 'right', 'good', 'legal', 'honest', 'appropri', 'legitim']"
29,"['grassf', 'grassi', 'grasser', 'grass', 'crass', 'gray', 'organ', 'mouthpiec', 'forum', 'ministri', 'agenc', 'member', 'freerang', 'rearrang', 'prearrang', 'free rein', 'free-rein', 'forerun', 'etc', 'whatev', 'along with oth', 'and al', 'and on and on', 'and oth']"
8,"['like', 'compar', 'alik', 'relat', 'agnat', 'cognat', 'tast', 'tasti', 'toast', 'tat', 'tat', 'test']"
22,"['about', 'around', 'back', 'backward', 'round', 'in revers', 'tribe', 'clan', 'societi', 'cast', 'associ', 'peopl', 'who', 'which', 'that fact', 'that on', 'that oth', 'the one in quest', 'hunt', 'raid', 'hunt', 'probe', 'prosecut', 'interrog', 'surviv', 'survivor', 'surviv', 'surviv', 'surviv', 'survey']"
19,"['eat', 'feed', 'chew', 'dine', 'inhal', 'bite', 'anim', 'aim', 'anon', 'abm', 'anti', 'am', 'product', 'commod', 'profit', 'brand', 'work', 'amount', 'surviv', 'survivor', 'surviv', 'surviv', 'surviv', 'survey']"
40,"['unhealthi', 'unhealthi', 'un health', 'un-health', 'unhealthi', 'un healthi']"
16,"['circl', 'circa', 'cicala', 'cical', 'circular', 'curl', 'life', 'heart', 'growth', 'soul', 'activ', 'get-up-and-go']"
14,"['weve', 'wee', 'eve', 'wave', 'wove', 'were', 'got', 'pull', 'earn', 'land', 'receiv', 'win', 'canin', 'cane', 'canon', 'canning', 'cannon', 'cabin', 'teeth', 'fang', 'dentur', 'bridgework', 'ivori', 'dentit']"
3,"['harm', 'loss', 'mischief', 'sabotag', 'violenc', 'damag', 'anim', 'aim', 'anon', 'abm', 'anti', 'am', 'take', 'booti', 'cut', 'return', 'revenu', 'share', 'milk', 'cream', 'condens', 'raw', 'skim', 'formula']"
21,"['they', 'wouldnt', 'worldest', 'volant', 'wildcat', 'wildest', 'violent', 'been', 'breath', 'do', 'last', 'prevail', 'move', 'born', 'constitut', 'natur', 'essenti', 'built-in', 'congenit', 'without', 'after', 'beyond', 'out', 'outdoor', 'outward', 'farmer', 'rancher', 'peasant', 'labor', 'produc', 'grower', 'did', 'move', 'execut', 'accomplish', 'end', 'complet', 'them', 'author', 'city hal', 'diehard', 'conserv', 'old guard', 'favour', 'fave', 'favor', 'flavor', 'fervor', 'four']"
53,"['vegan', 'fruitarian', 'herbivor', 'closedmind', 'closed end', 'closed mind', 'closed-mind', 'crossed mind', 'lost mind']"
44,"['b12', 'b b', 'b&b;', 'b l', 'b-l', 'b/l']"
51,"['stop', 'break', 'paus', 'bar', 'block', 'conclus', 'judg', 'jug', 'judi', 'judo']"
